"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ClinicalDocument","ClinicalDocument","","","",1,1,"","","","null {[]} {[]}
","Base for all types and resources","Base definition for all types defined in FHIR type system.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"ClinicalDocument.classCode","ClinicalDocument.classCode","","","",1,1,"","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""DOCCLIN""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""DOCCLIN""/>","","","","",,"extensible","","http://terminology.hl7.org/ValueSet/v3-ActClass","",,,,"ClinicalDocument.classCode",1,1,"",""
"ClinicalDocument.moodCode","ClinicalDocument.moodCode","","","",1,1,"","","","code {[]} {[]}
","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""EVN""/>","","<valueCode xmlns=""http://hl7.org/fhir"" value=""EVN""/>","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-ActMood","",,,,"ClinicalDocument.moodCode",1,1,"",""
"ClinicalDocument.realmCode","ClinicalDocument.realmCode","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of realm-specific constraints. The value of this attribute identifies the realm in question","","","","","","","","","",,,,,"",,,,"ClinicalDocument.realmCode",0,*,"",""
"ClinicalDocument.typeId","ClinicalDocument.typeId","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of constraints defined in an HL7-specified message type. This might be a common type (also known as CMET in the messaging communication environment), or content included within a wrapper. The value of this attribute provides a unique identifier for the type in question.","","","","","","","","","",,,,,"",,,,"ClinicalDocument.typeId",1,1,"",""
"ClinicalDocument.templateId","ClinicalDocument.templateId","","","",0,*,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","When valued in an instance, this attribute signals the imposition of a set of template-defined constraints. The value of this attribute provides a unique identifier for the templates in question","","","","","","","","","",,,,,"",,,,"ClinicalDocument.templateId",0,*,"",""
"ClinicalDocument.id","ClinicalDocument.id","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/II {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.id",1,1,"",""
"ClinicalDocument.code","ClinicalDocument.code","","","",1,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/doc-typecodes","",,,,"ClinicalDocument.code",1,1,"",""
"ClinicalDocument.title","ClinicalDocument.title","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/ST {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.title",0,1,"",""
"ClinicalDocument.statusCode","ClinicalDocument.statusCode","","","",0,1,"","","","http://hl7.org/fhir/cda/StructureDefinition/CS {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"ClinicalDocument.statusCode",0,1,"",""
